year,category,sub_category,winner,entity,
2014,MUSIC,MUSIC (Original Song),TRUE,Selma,
2014,MUSIC,MUSIC (Original Song),FALSE,Beyond the Lights,
2014,MUSIC,MUSIC (Original Song),FALSE,Glen Campbell...I'll Be Me,
2014,MUSIC,MUSIC (Original Song),FALSE,Begin Again,
2014,BEST PICTURE,BEST PICTURE,FALSE,American Sniper,
2014,BEST PICTURE,BEST PICTURE,TRUE,Birdman or (The Unexpected Virtue of Ignorance),
2014,BEST PICTURE,BEST PICTURE,FALSE,Boyhood,
2014,BEST PICTURE,BEST PICTURE,FALSE,The Grand Budapest Hotel,
2014,BEST PICTURE,BEST PICTURE,FALSE,The Imitation Game,
2014,BEST PICTURE,BEST PICTURE,FALSE,Selma,
2014,BEST PICTURE,BEST PICTURE,FALSE,The Theory of Everything,
2014,BEST PICTURE,BEST PICTURE,FALSE,Whiplash,
2014,PRODUCTION DESIGN,PRODUCTION DESIGN,TRUE,The Grand Budapest Hotel,
2014,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,The Imitation Game,
2014,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Interstellar,
2014,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Into the Woods,
2014,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Mr. Turner,
2014,SHORT FILM,SHORT FILM (Animated),FALSE,The Bigger Picture,
2014,SHORT FILM,SHORT FILM (Animated),FALSE,The Dam Keeper,
2014,SHORT FILM,SHORT FILM (Animated),TRUE,Feast,
2014,SHORT FILM,SHORT FILM (Animated),FALSE,Me and My Moulton,
2014,SHORT FILM,SHORT FILM (Animated),FALSE,A Single Life,
2014,SHORT FILM,SHORT FILM (Live Action),FALSE,Aya,
2014,SHORT FILM,SHORT FILM (Live Action),FALSE,Boogaloo and Graham,
2014,SHORT FILM,SHORT FILM (Live Action),FALSE,Butter Lamp (La Lampe Au Beurre De Yak),
2014,SHORT FILM,SHORT FILM (Live Action),FALSE,Parvaneh,
2014,SHORT FILM,SHORT FILM (Live Action),TRUE,The Phone Call,
2014,SOUND,SOUND EDITING,TRUE,American Sniper,
2014,SOUND,SOUND EDITING,FALSE,Birdman or (The Unexpected Virtue of Ignorance),
2014,SOUND,SOUND EDITING,FALSE,The Hobbit: The Battle of the Five Armies,
2014,SOUND,SOUND EDITING,FALSE,Interstellar,
2014,SOUND,SOUND EDITING,FALSE,Unbroken,
2014,SOUND,SOUND MIXING,FALSE,American Sniper,
2014,SOUND,SOUND MIXING,FALSE,Birdman or (The Unexpected Virtue of Ignorance),
2014,SOUND,SOUND MIXING,FALSE,Interstellar,
2014,SOUND,SOUND MIXING,FALSE,Unbroken,
