year,category,sub_category,winner,entity,id
2005,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Murderball,tt0436613
2005,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Street Fight,tt0457496
2005,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,The Death of Kevin Carter: Casualty of the Bang Bang Club,
2005,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,God Sleeps in Rwanda,tt0480247
2005,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,The Mushroom Club,tt0762119
2005,DOCUMENTARY,DOCUMENTARY (Short Subject),TRUE,A Note of Triumph: The Golden Age of Norman Corwin,tt0491795
2005,FILM EDITING,FILM EDITING,FALSE,Cinderella Man,tt0352248
2005,FILM EDITING,FILM EDITING,FALSE,The Constant Gardener,tt0387131
2005,FILM EDITING,FILM EDITING,TRUE,Crash,tt0485877
2005,FILM EDITING,FILM EDITING,FALSE,Munich,tt0408306
2005,FILM EDITING,FILM EDITING,FALSE,Walk the Line,tt0358273
2005,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Don't Tell,tt0417077
2005,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Joyeux Noël,tt0424205
2005,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Paradise Now,tt0445620
2005,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Sophie Scholl - The Final Days,
2005,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,TRUE,Tsotsi,tt0468565
2005,MAKEUP,MAKEUP,TRUE,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
2005,MAKEUP,MAKEUP,FALSE,Cinderella Man,tt0352248
2005,MAKEUP,MAKEUP,FALSE,Star Wars: Episode III Revenge of the Sith,
2005,MUSIC,MUSIC (Original Score),TRUE,Brokeback Mountain,tt0388795
2005,MUSIC,MUSIC (Original Score),FALSE,The Constant Gardener,tt0387131
2005,MUSIC,MUSIC (Original Score),FALSE,Memoirs of a Geisha,tt0397535
2005,MUSIC,MUSIC (Original Score),FALSE,Munich,tt0408306
2005,MUSIC,MUSIC (Original Score),FALSE,Pride & Prejudice,tt0414387
2005,MUSIC,MUSIC (Original Song),FALSE,Crash,tt0485877
2005,MUSIC,MUSIC (Original Song),TRUE,Hustle & Flow,tt0410097
2005,MUSIC,MUSIC (Original Song),FALSE,Transamerica,tt0407265
2005,BEST PICTURE,BEST PICTURE,FALSE,Brokeback Mountain,tt0388795
2005,BEST PICTURE,BEST PICTURE,FALSE,Capote,tt0379725
2005,BEST PICTURE,BEST PICTURE,TRUE,Crash,tt0485877
2005,BEST PICTURE,BEST PICTURE,FALSE,"Good Night, and Good Luck.",
2005,BEST PICTURE,BEST PICTURE,FALSE,Munich,tt0408306
2005,SHORT FILM,SHORT FILM (Animated),FALSE,Badgered,tt0455912
2005,SHORT FILM,SHORT FILM (Animated),TRUE,The Moon and the Son: An Imagined Conversation,tt0449619
2005,SHORT FILM,SHORT FILM (Animated),FALSE,The Mysterious Geographic Explorations of Jasper Morello,tt0469146
2005,SHORT FILM,SHORT FILM (Animated),FALSE,9,tt0443424
2005,SHORT FILM,SHORT FILM (Animated),FALSE,One Man Band,tt0479113
2005,SHORT FILM,SHORT FILM (Live Action),FALSE,Ausreisser (The Runaway),
2005,SHORT FILM,SHORT FILM (Live Action),FALSE,Cashback,
2005,SHORT FILM,SHORT FILM (Live Action),FALSE,The Last Farm,
2005,SHORT FILM,SHORT FILM (Live Action),FALSE,Our Time Is Up,
2005,SHORT FILM,SHORT FILM (Live Action),TRUE,Six Shooter,
2005,SOUND,SOUND EDITING,TRUE,King Kong,tt0360717
2005,SOUND,SOUND EDITING,FALSE,Memoirs of a Geisha,tt0397535
2005,SOUND,SOUND EDITING,FALSE,War of the Worlds,tt0407304
2005,SOUND,SOUND MIXING,FALSE,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
2005,SOUND,SOUND MIXING,TRUE,King Kong,tt0360717
2005,SOUND,SOUND MIXING,FALSE,Memoirs of a Geisha,tt0397535
2005,SOUND,SOUND MIXING,FALSE,Walk the Line,tt0358273
2005,SOUND,SOUND MIXING,FALSE,War of the Worlds,tt0407304
2005,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
2005,SPECIAL EFFECTS,VISUAL EFFECTS,TRUE,King Kong,tt0360717
2005,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,War of the Worlds,tt0407304
2005,WRITING,WRITING (Adapted Screenplay),TRUE,Brokeback Mountain,tt0388795
2005,WRITING,WRITING (Adapted Screenplay),FALSE,Capote,tt0379725
2005,WRITING,WRITING (Adapted Screenplay),FALSE,The Constant Gardener,tt0387131
2005,WRITING,WRITING (Adapted Screenplay),FALSE,A History of Violence,tt0399146
2005,WRITING,WRITING (Adapted Screenplay),FALSE,Munich,tt0408306
2005,WRITING,WRITING (Original Screenplay),TRUE,Crash,tt0485877
2005,WRITING,WRITING (Original Screenplay),FALSE,"Good Night, and Good Luck.",
2005,WRITING,WRITING (Original Screenplay),FALSE,Match Point,tt0416320
2005,WRITING,WRITING (Original Screenplay),FALSE,The Squid and the Whale,tt0367089
2005,WRITING,WRITING (Original Screenplay),FALSE,Syriana,tt0365737
2004,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,TRUE,The Incredibles,tt0317705
2004,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Shark Tale,tt0307453
2004,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Shrek 2,tt0298148
2004,ART DIRECTION,ART DIRECTION,TRUE,The Aviator,tt0338751
2004,ART DIRECTION,ART DIRECTION,FALSE,Finding Neverland,tt0308644
